,names,cuisine,price,reviews,rating,address
363,Pied A Terre,French,4,308.0,4.6,Fitzrovia
364,Caffe Concerto - Whitehall,Italian,2,76.0,4.3,Piccadilly
365,Da Henrietta,Italian,3,369.0,4.2,Covent Garden
366,Ping Pong Covent Garden,Asian,2,94.0,4.0,Covent Garden
367,"The Clermont Restaurant And Bar, Charing Cross",Modern European,2,29.0,4.5,Charing Cross
368,Avenue Restaurant,Modern European,3,664.0,4.4,Green Park
369,The Elysée,Greek,4,169.0,4.3,Fitzrovia
370,Pizzeria Mozza,Italian,2,10.0,4.1,Oxford Circus
371,The Crusting Pipe,British,3,381.0,4.0,Covent Garden
372,Parsons,Seafood,3,264.0,4.7,Covent Garden
373,Champagne Charlies,British,3,340.0,3.9,Charing Cross
374,Chefs Table At Lucky Cat By Gordon Ramsay,Asian,4,20.0,4.8,Mayfair
375,Noizé,Modern European,4,120.0,4.8,Fitzrovia
377,Salvador And Amanda Covent Garden,Spanish,2,478.0,4.1,Leicester Square
378,The Foyer & Reading Rooms At Claridge’S,Modern European,3,284.0,4.8,Mayfair
379,Caffé Concerto - Oxford Street,Italian,2,12.0,3.4,Mayfair
380,Mamounia Lounge - Mayfair,Middle Eastern,3,241.0,3.7,Mayfair
381,Koba,Korean,3,1327.0,4.7,Soho
382,Pane Cunzato,Italian,2,23.0,4.6,Bloomsbury
385,Giotto Restaurant,Italian,2,91.0,4.0,Covent Garden
386,Phoenix Arts Club,British,2,293.0,4.4,Soho
388,Davy'S St James,British,3,79.0,3.9,St. James's
389,Wild Honey Terrace At Sofitel,Mediterranean,3,17.0,4.6,Charing Cross
390,Spaghetti House Cranbourn Street,Italian,2,99.0,3.8,Leicester Square
391,Henry'S Cafe Bar Piccadilly,British,3,1.0,4.5,Green Park
392,Afternoon Tea At Caffe Concerto Whitehall,Italian,2,22.0,3.9,Leicester Square
393,The Arber Garden,British,3,695.0,4.3,Fitzrovia
395,Butlers At The Chesterfield,British,3,257.0,4.1,Mayfair
396,1989 Clubhouse,Pan-Asian,2,1.0,,Covent Garden
397,Tea And Tattle,British,3,66.0,4.4,Bloomsbury
398,Norma London,Italian,3,20.0,4.5,Fitzrovia
399,Quaglino'S Bar,Modern European,2,7.0,4.5,Green Park
400,The Long Acre,British,2,26.0,3.2,Covent Garden
401,Bar Salsa!,Latin American,2,85.0,3.5,Leicester Square
402,Loop Bar,British,2,1199.0,4.0,Oxford Circus
405,Scoff & Banter - Bloomsbury,British,2,360.0,3.8,Bloomsbury
409,Foxlow Soho,British,2,600.0,4.3,Soho
412,Hix Soho Restaurant & Bar,British,4,1856.0,3.9,Soho
414,Mash,Steak,4,1683.0,4.4,Soho
416,The Queen'S Head,British,2,139.0,4.3,Piccadilly
417,Xu Teahouse & Restaurant,Asian,3,67.0,4.4,Piccadilly
418,Clockjack,Modern European,2,180.0,3.8,Piccadilly
419,"Jamie'S Italian, Piccadilly",Italian,3,309.0,3.7,Piccadilly
420,Jeow Jeow,Thai,2,10.0,4.6,Soho
421,Pampushka,Eastern European,2,27.0,4.4,Soho
422,Yeni,Mediterranean,3,253.0,4.6,Soho
424,Wild Rice London,Thai,3,53.0,4.0,Soho
427,Nopi,Mediterranean,4,5888.0,4.5,Soho
428,"Nopi - Downstairs, Sharing Tables",Mediterranean,4,1762.0,4.5,Soho
430,El Camion Soho,Mexican,2,384.0,4.0,Covent Garden
431,Oka Kingly Court,Japanese,3,774.0,4.6,Oxford Circus
432,Sophie'S Steakhouse Soho,Steak,2,362.0,4.2,Soho
433,Wildheart,British,3,13.0,3.9,Soho
434,Ma' Plucker,American,2,32.0,3.6,Soho
435,The Warwick,British,2,25.0,3.2,Piccadilly
439,The Domino Room,British,4,2.0,4.4,Piccadilly
441,Green Bar At Hotel Cafe Royal - Permanently Closed,Contemporary American,2,3.0,4.4,Piccadilly
444,Yoobi Soho,International,2,2.0,3.4,Soho
446,Yalla Yalla Soho,Middle Eastern,2,12.0,4.3,Soho
448,Grace,British,2,1168.0,3.9,Piccadilly
450,Mister Lasagna,Italian,2,23.0,3.4,Soho
452,Le Bab,Middle Eastern,2,64.0,4.1,Soho
454,Senor Ceviche - Carnaby,Peruvian,3,417.0,4.6,Oxford Circus
455,Stax Diner,Burgers,2,3.0,4.8,Soho
457,Benihana Piccadilly,Japanese,3,5661.0,4.6,Piccadilly
458,Rumours,Modern European,3,88.0,3.2,Mayfair
460,Ziggy Green,Australian,3,5.0,4.2,Oxford Circus
463,Polpetto,Italian,3,11.0,4.2,Soho
465,The Duck And Rice,Asian,2,67.0,4.4,Soho
466,Pacific Restaurant,Japanese,2,9.0,4.4,Mayfair
467,Magpie,Modern European,3,152.0,4.5,Mayfair
468,Fortnum & Mason - Wine Bar,British,2,573.0,4.2,Piccadilly
470,Piccolino Heddon Street,Italian,3,453.0,4.0,Oxford Circus
471,Aubaine Heddon Street,French,3,544.0,3.7,Piccadilly
472,Cafe Monico,International,2,1590.0,4.2,Soho
473,Bentley'S Oyster Bar & Grill,Seafood,3,2888.0,4.3,Piccadilly
477,Sports Bar & Grill Piccadilly Circus,American,2,28.0,3.6,Piccadilly
478,Martha'S Soho,American,2,16.0,,Soho
479,Terrace Grill And Bar,British,3,1749.0,4.1,Piccadilly
480,Dehesa,Spanish,3,29.0,4.4,Soho
481,Social Eating House,British,3,2230.0,4.3,Soho
482,Tank & Paddle Heddon Street,Italian,2,45.0,4.3,Piccadilly
483,Evelyn'S Table,Italian,4,222.0,4.8,Soho
485,Carnaby Zebrano,Modern European,2,52.0,3.6,Soho
488,Mediterranean Café,Mediterranean,2,299.0,4.1,Soho
489,Yuu Kitchen At Icebar London,Southeast Asian,3,9.0,4.2,Mayfair
491,Tapas Brindisa Rupert Street,Spanish,2,356.0,4.1,Piccadilly
493,Rice Coming - Chinatown,Chinese,2,2.0,3.9,Soho
494,Vesuvio Restaurant,Italian,2,8.0,3.9,Soho
495,Peperoncino,Italian,2,8.0,3.8,Piccadilly
496,Pizza Toscana,Italian,2,306.0,4.2,Soho
497,Princi - Shaftesbury Avenue.,Italian,2,9.0,4.0,Soho
