,Unnamed: 0,website_id,full_name,cuisine,price_range,reviews,rating,location,url,rest_id
29,29,1258,Heddon Street Kitchen,Modern European,3,2213.0,4.2,Piccadilly,https://www.opentable.co.uk/r/heddon-street-kitchen-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2288
30,30,1326,Prix Fixe Brasserie,French,3,2879.0,4.5,Soho,https://www.opentable.co.uk/prix-fixe-brasserie?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2354
31,31,1195,Inko Nito London,Japanese,3,11.0,4.8,Soho,https://www.opentable.co.uk/r/inko-nito-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2244
32,32,1463,Lobos Meat & Tapas - Soho,Spanish,2,1506.0,4.5,Soho,https://www.opentable.co.uk/r/lobos-meat-and-tapas-soho-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2595
33,33,1149,Estiatorio Milos – London,Seafood,4,1473.0,4.6,Piccadilly,https://www.opentable.co.uk/r/estiatorio-milos-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2500
34,34,1507,Imperial Treasure,Chinese,4,534.0,4.5,Piccadilly,https://www.opentable.co.uk/r/imperial-treasure-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2465
35,35,1375,Fatt Pundit,Chinese,2,537.0,4.6,Soho,https://www.opentable.co.uk/r/fatt-pundit-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2334
36,36,1161,Negroni'S,Italian,3,112.0,4.5,Soho,https://www.opentable.co.uk/r/negronis-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2603
37,37,1480,Orient London,Chinese,2,773.0,4.5,Soho,https://www.opentable.co.uk/orient-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2349
38,38,1395,Zima Russian Restaurant,Russian,3,684.0,4.7,Soho,https://www.opentable.co.uk/r/zima-russian-restaurant-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2235
39,39,1481,Thai Tho - Soho,Thai,2,467.0,4.1,Piccadilly,https://www.opentable.co.uk/thai-tho-soho?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2228
40,40,1501,Inamo - Soho,Japanese,3,4540.0,3.4,Soho,https://www.opentable.co.uk/r/inamo-soho-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2314
41,41,1168,The Rainforest Cafe London,American,3,3109.0,,Piccadilly,https://www.opentable.co.uk/r/the-rainforest-cafe-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2493
42,42,1331,Kanishka,Indian,4,1090.0,4.4,Mayfair,https://www.opentable.co.uk/r/kanishka-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2462
43,43,1142,Ino Gastrobar,Greek,3,101.0,4.5,Soho,https://www.opentable.co.uk/r/ino-gastrobar-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2548
44,44,1212,Pix Carnaby,Spanish,2,444.0,4.1,Soho,https://www.opentable.co.uk/r/pix-carnaby-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2529
45,45,1210,Red Dog Saloon Soho,American,2,647.0,4.0,Soho,https://www.opentable.co.uk/r/red-dog-saloon-soho-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2517
46,46,1221,Refuel Restaurant At The Soho Hotel,Modern European,2,2619.0,4.5,Soho,https://www.opentable.co.uk/r/refuel-restaurant-at-the-soho-hotel-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2319
47,47,1151,Café Boheme,French,2,811.0,4.4,Soho,https://www.opentable.co.uk/cafe-boheme?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2384
48,48,1193,Ruby'S Soho,British,2,265.0,4.0,Soho,https://www.opentable.co.uk/r/rubys-soho-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2377
49,49,1173,Patara - Oxford Circus,Thai,3,1657.0,4.4,Oxford Circus,https://www.opentable.co.uk/r/patara-oxford-circus-london?avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&amp;corrid=65f367e0-2e6d-49fb-88cd-9d4d8cbf5948,2296
